`mesh_concept_uid`,`mesh_term_id`
M0000313,1103
M0000313,1104
M0000314,1105
M0000314,1106
M0000315,1107
M0000315,1108
M0000316,1109
M0000316,1110
M0000316,1111
M0000316,1112
M0000317,1113
M0000317,1114
M0000317,1115
M0000317,1116
M0000318,1117
M0000318,1118
M0000318,1119
M0000318,1120
M0000319,1121
M0000320,1122
M0000320,1123
M0000320,1124
M0000320,1125
M0000322,1126
M0000322,1127
M0000322,1128
M0000322,1129
M0000323,1130
M0000323,1131
M0000323,1132
M0000324,1133
M0000324,1134
M0000324,1135
M0000324,1136
M0000324,1137
M0000324,1138
M0000324,1139
M0000324,1140
M0000324,1141
M0000324,1142
M0000324,1143
M0000325,1144
M0000325,1145
M0000325,1146
M0000325,1147
M0000325,1148
M0000325,1149
M0000325,1150
M0000325,1151
M0000325,1152
M0000325,1153
M0000326,1154
M0000326,1155
M0353794,1156
M0353794,1157
M0353794,1158
M0000326,1159
M0000326,1160
M0000327,1161
M0000327,1162
M0000328,1163
M0000329,1164
M0000330,1165
M0000330,1166
M0000330,1167
M0000331,1168
M0000331,1169
M0000332,1170
M0000332,1171
M0000332,1172
M0000332,1173
M0000332,1174
M0000332,1175
M0000332,1176
M0000332,1177
M0000332,1178
M0000332,1179
M0000332,1180
M0000333,1181
M0000334,1182
M0000334,1183
M0000334,1184
M0000334,1185
M0000334,1186
M0000334,1187
M0000334,1188
M0000334,1189
M0000334,1190
M0000334,1191
M0000334,1192
M0000334,1193
M0000334,1194
M0000334,1195
M0000334,1196
M0000334,1197
M0000334,1198
M0000334,1199
M0000334,1200
M0000334,1201
M0000334,1202
M0000334,1203
M0000335,1204
M0000336,1205
M0000336,1206
M0000337,1207
M0000337,1208
M0000337,1209
M0000337,1210
M0000337,1211
M0000337,1212
M0000337,1213
M0000337,1214
M0000337,1215
M0000337,1216
M0000337,1217
M0000337,1218
M0000338,1219
M0000338,1220
M0000338,1221
M0000338,1222
M0000339,1223
M0000339,1224
M0000339,1225
M0000339,1226
M0000340,1227
M0000340,1228
M0000340,1229
M0000340,1230
M0000341,1231
M0000341,1232
M0000341,1233
M0000341,1234
M0000341,1235
M0000341,1236
M0000341,1237
M0000341,1238
M0000342,1239
M0000342,1240
M0000342,1241
M0000342,1242
M0000343,1243
M0000343,1244
M0000343,1245
M0000343,1246
M0000344,1247
M0000344,1248
M0000344,1249
M0000344,1250
M0000345,1251
M0000345,1252
M0000345,1253
M0000345,1254
M0000346,1255
M0000346,1256
M0000346,1257
M0000346,1258
M0000347,1259
M0000347,1260
M0000347,1261
M0000347,1262
M0408259,1263
M0408259,1264
M0408259,1265
M0408259,1266
M0408259,1267
M0408259,1268
M0408259,1269
M0404024,1270
M0000348,1271
M0000349,1272
M0000350,1273
M0000351,1274
M0000352,1275
M0000352,1276
M0000352,1277
M0000352,1278
M0000353,1279
M0000353,1280
M0000353,1281
M0000353,1282
M0000353,1283
M0000353,1284
M0478942,1285
M0478942,1286
M0478942,1287
M0478942,1288
M0000354,1289
M0000354,1290
M0000355,1291
M0000355,1292
M0000355,1293
M0000355,1294
M0000355,1295
M0000355,1296
M0000356,1297
M0000356,1298
M0000356,1299
M0000356,1300
M0000357,1301
M0000357,1302
