`mesh_concept_uid`,`mesh_descriptor_uid`
M0000749,D000497
M0000750,D000498
M0000751,D000499
M0000752,D000500
M0000753,D000501
M0000754,D000502
M0000755,D000503
M0000756,D000504
M0000757,D000505
M0000758,D000505
M0000759,D000505
M0000760,D000506
M0000761,D000507
M0000762,D000508
M0000763,D000509
M0000765,D000510
M0000766,D000511
M0000767,D000511
M0000768,D000511
M0000769,D000511
M0000770,D000511
M0000771,D000511
M0000772,D000511
M0000773,D000511
M0000774,D000512
M0000775,D000512
M0000776,D000513
M0000778,D000514
M0000780,D000515
M0000783,D000516
M0000784,D000516
M0000786,D000517
M0000787,D000518
M0000788,D000518
M0000789,D000518
M0000790,D000518
M0000793,D000519
M0000794,D000520
M0000795,D000520
M0000797,D000521
M0000798,D000522
M0000799,D000522
M0000800,D000522
M0000801,D000523
M0000802,D000524
M0000803,D000524
M0000804,D000524
M0000805,D012845
M0000806,D000525
M0000807,D000525
M0000808,D000526
M0000809,D000526
M0000810,D000526
M0000811,D000527
M0000812,D000528
M0000813,D000529
M0000817,D000530
M0000818,D000531
M0000819,D000532
M0000820,D000533
M0000821,D026686
M0000822,D000533
M0000823,D000534
M0000824,D000535
M0000825,D000536
M0000826,D000536
M0000828,D000537
M0000829,D000537
M0000830,D000537
M0000831,D000537
M0000832,D000537
M0000833,D000538
M0000834,D000539
M0000835,D000539
M0000836,D000540
M0000837,D000540
M0000838,D000540
M0000839,D000541
M0000840,D000542
M0000841,D000543
M0000842,D000544
M0000843,D000545
M0000844,D053959
M0000846,D000546
M0000847,D000547
M0000848,D000547
M0000849,D000547
M0000850,D000547
M0000851,D000547
M0000852,D000548
M0000853,D000549
M0000854,D000550
M0000855,D000551
M0000856,D000551
M0000857,D000552
M0000858,D000552
M0000859,D000553
M0000860,D000553
M0000861,D000553
M0000862,D000554
M0000863,D000554
M0000864,D000554
M0000865,D000554
M0000866,D000554
M0000867,D000554
M0000868,D000555
M0000869,D000556
M0000870,D000556
M0000871,D000556
M0000872,D000557
M0000873,D000558
M0000874,D000559
M0000875,D000559
M0000876,D000560
M0000877,D000561
M0000878,D000562
M0000879,D000562
M0000880,D000562
M0000881,D000562
M0000882,D000563
M0000883,D000564
M0000884,D000565
M0000885,D000566
M0000886,D000567
M0000887,D000568
M0000888,D000568
M0000889,D000569
M0000890,D000570
M0000891,D000571
M0000892,D000572
M0000893,D000573
M0000894,D000574
M0000895,D000575
M0000896,D000576
M0000897,D000577
M0000898,D000578
M0000899,D000579
M0000900,D000580
M0000901,D000581
M0000902,D000582
M0000903,D000583
M0000904,D000583
M0000905,D000583
M0000906,D000584
M0000907,D000584
M0000909,D000585
M0000910,D000585
M0000911,D000586
M0000912,D000587
M0000913,D000588
M0000915,D000590
M0000916,D000591
M0000917,D000591
M0000918,D000592
M0000920,D000594
M0000921,D000595
M0000922,D000596
M0000923,D000597
M0000924,D000598
M0000925,D000599
M0000926,D000600
M0000927,D000601
M0000928,D000602
M0000929,D000603
M0000930,D000604
M0000931,D000605
M0000932,D000606
M0000933,D000607
M0000934,D000608
M0000935,D000609
M0000936,D062365
M0000938,D000611
M0000939,D000612
M0000940,D000613
M0000941,D000613
M0000942,D000614
M0000943,D000615
M0000944,D000616
M0000945,D000616
M0000946,D000617
M0000947,D000618
M0000948,D000619
M0000949,D000620
M0000950,D000621
M0000951,D000622
M0000952,D000622
M0000953,D000623
M0000954,D000624
M0000955,D000625
M0000956,D000625
M0000957,D000626
M0000958,D000627
M0000959,D000628
M0000960,D000629
M0000962,D000630
M0000964,D000631
M0000965,D000632
M0000966,D000633
M0000967,D000634
M0000968,D000635
M0000969,D000635
M0000970,D010131
M0000971,D000636
M0000972,D000637
M0000973,D000638
M0000975,D000639
M0000976,D000639
M0000977,D000639
M0000978,D000639
M0000980,D000640
M0000981,D000641
M0000982,D000642
M0000983,D000643
M0000984,D064751
M0000985,D064751
M0000986,D000645
M0000987,D000646
M0000988,D000646
M0000989,D000647
M0000990,D000648
M0000991,D000649
M0000992,D000650
M0000994,D000652
M0000995,D000652
M0000996,D000652
M0000997,D000652
M0000998,D000652
M0000999,D000653
M0001000,D000654
M0001001,D000654
M0001003,D000654
M0001004,D000654
M0001005,D000655
M0001006,D000655
M0001007,D000656
M0001008,D000657
M0001009,D000658
M0001010,D000658
M0001011,D000659
M0001012,D000661
M0001013,D000661
M0001015,D000662
M0001016,D000663
M0001017,D000664
M0001018,D000664
M0001019,D000664
M0001020,D000665
M0001021,D000666
M0001023,D000666
M0001024,D000666
M0001025,D000667
M0001026,D000667
M0001027,D000667
M0001029,D000668
M0001030,D000669
M0001031,D000670
M0001032,D000670
M0001033,D000671
M0001034,D000672
M0001035,D000673
M0001036,D000674
M0001037,D000675
M0001038,D000676
M0001039,D000677
M0001040,D000677
M0001041,D000677
M0001042,D000677
M0001043,D000678
M0001044,D000679
M0001045,D000680
M0001046,D000681
M0001047,D000682
M0001048,D000683
M0001051,D000685
M0001052,D000685
M0001053,D000686
M0001054,D000687
M0001055,D000688
M0001056,D000690
M0001057,D016472
M0001058,D000691
M0001060,D000693
M0001061,D000694
M0001062,D000695
M0001063,D000697
M0001064,D000697
M0001065,D000698
M0001066,D000699
M0001067,D000700
M0001068,D000701
M0001069,D009294
M0001071,D000703
M0001072,D000704
M0001073,D000705
M0001074,D000706
M0001075,D000706
M0001076,D000707
M0001077,D000708
M0001078,D000709
M0001079,D000710
M0001081,D000711
M0001082,D000711
M0001083,D000712
M0001084,D000713
M0001085,D000714
M0001086,D000715
M0001087,D000716
M0001088,D000717
M0001089,D000718
M0001090,D000719
M0001091,D000720
M0001092,D000721
M0001093,D000721
M0001094,D000721
M0001095,D000722
M0001096,D000722
M0001097,D000722
M0001098,D000723
M0001099,D000723
M0001100,D000723
M0001101,D000724
M0001102,D000725
M0001103,D000726
M0001104,D000727
M0001106,D000728
M0001107,D045165
M0001108,D000730
M0001109,D000731
M0001110,D000732
M0001111,D000733
M0001112,D000734
M0001113,D000735
M0001114,D000736
M0001115,D000737
M0001116,D000738
M0001117,D000738
M0001118,D000739
M0001119,D000740
M0001120,D000741
M0001121,D000741
M0001122,D000742
M0001123,D000743
M0001124,D000743
M0001125,D000743
M0001126,D007565
M0001127,D000744
M0001128,D000744
M0001129,D000745
M0001130,D000746
M0001131,D000747
M0001132,D000747
M0001133,D000748
M0001134,D000749
M0001135,D000750
M0001136,D000751
M0001137,D000752
M0001138,D000753
M0001139,D000754
M0001140,D000755
M0001141,D000756
M0001142,D000757
M0001143,D000758
M0001144,D000759
M0001145,D000760
M0001146,D000761
M0001147,D000761
M0001148,D000762
M0001149,D000763
M0001150,D000764
M0001151,D000765
M0001152,D000766
M0001153,D000767
M0001154,D000768
M0001155,D000769
M0001156,D000769
M0001157,D000770
M0001158,D000771
M0001159,D000772
M0001160,D000772
M0001161,D000773
M0001162,D000773
M0001163,D000773
M0001164,D000774
M0001165,D000775
M0001166,D000776
M0001167,D000777
M0001168,D000778
M0001169,D000779
M0001170,D000780
M0001171,D000781
M0001172,D000781
M0001173,D000782
M0001174,D000783
M0001175,D000784
M0001176,D000785
M0001177,D000785
M0001178,D000785
M0001179,D000786
M0001180,D000787
M0001181,D000788
M0001182,D000789
M0001183,D000789
M0001184,D000790
M0001185,D043925
M0001186,D043925
M0001187,D000792
M0001188,D000792
M0001189,D000793
M0001190,D000794
M0001191,D000795
M0001192,D000796
M0001193,D000796
M0001194,D000796
M0001195,D018219
M0001196,D000798
M0001197,D000799
M0001198,D000800
M0001199,D000801
M0001200,D000802
M0001201,D000803
M0001202,D000804
M0001205,D000804
M0001206,D000805
M0001207,D000806
M0001208,D000808
M0001209,D000808
M0001210,D000809
M0001211,D000810
M0001212,D000811
M0001213,D000812
M0001214,D000813
M0001215,D000814
M0001216,D000815
M0001217,D000816
M0001218,D000817
M0001219,D000818
M0001220,D000825
M0001221,D032761
M0001222,D000819
M0001223,D000820
M0001224,D000821
M0001225,D000822
M0001226,D000823
M0001227,D000824
M0001228,D000825
M0001229,D000826
M0001230,D035661
M0001231,D032761
M0001232,D000827
M0001234,D000828
M0001235,D000829
M0001236,D057805
M0001237,D000829
M0001238,D000830
M0001239,D000831
M0001240,D000832
M0001241,D000833
M0001242,D030801
M0001243,D030801
M0001244,D000835
M0001245,D000835
M0001246,D000836
M0001247,D000837
M0001248,D000838
M0001249,D000839
M0001250,D000840
M0001251,D000841
M0001252,D000842
M0001253,D000843
M0001254,D000844
M0001255,D000845
M0001256,D000846
M0001257,D000846
M0001258,D000846
M0001259,D000846
M0001260,D000847
M0001261,D000848
M0001262,D000848
M0001263,D000849
M0001264,D000850
M0001265,D000850
M0001266,D000851
M0001267,D000851
M0001268,D000851
M0001269,D000852
M0001270,D000853
M0001271,D000854
M0001272,D000854
M0001273,D000854
M0001274,D000854
M0001275,D000854
M0001276,D000854
M0001278,D000855
M0001279,D000856
M0001280,D000857
M0001281,D000858
M0001282,D000860
M0001283,D000860
M0001284,D000860
M0001285,D000860
M0001286,D000861
M0001287,D000862
M0001288,D000862
M0001289,D000863
M0001290,D000864
M0001291,D000865
M0001292,D000865
M0001293,D000865
M0001295,D000866
M0001296,D000866
M0001297,D000867
M0001298,D000868
M0001299,D000869
M0001300,D000870
M0001301,D000871
M0001302,D000872
M0001303,D000873
M0001304,D000874
M0001305,D000875
M0001307,D000875
M0001308,D000875
M0001309,D000876
M0001310,D000877
M0001311,D000878
M0001312,D000878
M0001313,D062367
M0001314,D000880
M0001315,D000881
M0001316,D000882
M0001317,D000882
M0001318,D000883
M0001319,D000884
M0001320,D000884
M0001321,D000885
M0001322,D000886
M0001323,D000887
M0001324,D000888
M0001325,D000888
M0001326,D000889
M0001327,D000889
M0001328,D000889
M0001329,D000890
M0001330,D000891
M0001331,D000892
M0001332,D000892
M0001333,D000893
M0001334,D000894
M0001335,D000894
M0001336,D000894
M0001337,D000894
M0001340,D000897
M0001341,D000898
M0001342,D000898
M0001343,D000899
M0001344,D000900
M0001347,D000935
M0001348,D000903
M0001349,D000903
M0001350,D000904
M0001352,D000906
M0001353,D000907
M0001354,D000908
M0001355,D000909
M0001356,D000910
M0001357,D000911
M0001358,D000912
M0001359,D000912
M0001360,D000913
M0001361,D000914
M0001362,D000915
M0001363,D000915
M0001364,D000916
M0001365,D000916
M0001366,D000917
M0001367,D056724
M0001368,D000918
M0001369,D000919
M0001370,D000920
M0001371,D000921
M0001372,D000921
M0001373,D000922
M0001374,D000922
M0001375,D000922
M0001376,D000923
M0001377,D000923
M0001378,D000924
M0001379,D000924
M0001380,D000925
M0001381,D000926
M0001382,D000927
M0001383,D000927
M0001384,D000928
M0001385,D000928
M0001386,D000928
M0001387,D000929
M0001388,D000930
M0001389,D000930
M0001390,D000931
M0001391,D000932
M0001393,D000933
M0001394,D000933
M0001395,D000934
M0001396,D000934
M0001397,D000934
M0001398,D000934
M0001399,D000935
M0001400,D000936
M0001401,D000937
M0001402,D000938
M0001403,D000939
M0001404,D000939
M0001405,D000940
M0001406,D000940
M0001407,D000941
M0001408,D000942
M0001409,D000943
M0001410,D000943
M0001411,D000943
M0001412,D000944
M0001413,D000944
M0001414,D000944
M0001415,D000945
M0001416,D000945
M0001417,D000945
M0001418,D000946
M0001419,D000947
M0001420,D000949
M0001421,D000949
M0001422,D000950
M0001435,D000951
M0001436,D000951
M0001437,D000952
M0001438,D000952
M0001439,D000952
M0001440,D000952
M0001441,D000952
M0001442,D000952
M0001443,D000952
M0001444,D000953
M0001445,D000954
M0001446,D000955
M0001447,D000955
M0001448,D000956
M0001449,D000957
M0001450,D000957
M0001451,D000957
M0001452,D000957
M0001453,D000958
M0001454,D000958
M0001455,D000958
M0001456,D000959
M0001459,D000960
M0001460,D000961
M0001461,D000961
M0001462,D000961
M0001463,D000961
M0001464,D000961
M0001465,D000961
M0001466,D000961
M0001467,D000961
M0001468,D000961
M0001469,D000962
M0001470,D000963
M0001471,D000964
M0001472,D000965
M0001473,D000966
M0001474,D000967
M0001475,D000967
M0001477,D000967
M0001478,D000967
M0001479,D000968
M0001480,D000968
M0001481,D000969
M0001482,D050256
M0001483,D000970
M0001484,D054697
M0001485,D000971
M0001486,D000972
M0001488,D000974
M0001489,D000974
M0001490,D000974
M0001491,D000975
M0001492,D000976
M0001493,D000977
M0001494,D000978
M0001495,D000979
M0001496,D000980
M0001497,D000981
M0001498,D000982
M0001499,D000983
M0001500,D000985
M0001501,D000986
M0001502,D000986
M0001503,D000987
M0001504,D000987
M0001505,D000988
M0001506,D000988
M0001507,D000989
M0001508,D000989
M0001509,D000990
M0001510,D058833
M0001511,D000992
M0001512,D000993
M0001513,D000993
