`mesh_concept_uid`,`mesh_semantic_type_uid`
M0000511,T007
M0000512,T046
M0000512,T184
M0000513,T120
M0000514,T104
M0000515,T091
M0000516,T091
M0000517,T091
M0000518,T109
M0000518,T121
M0000520,T041
M0000521,T041
M0000522,T048
M0000523,T048
M0000524,T048
M0000525,T184
M0000526,T184
M0000527,T048
M0000527,T184
M0000528,T047
M0000529,T023
M0000530,T130
M0000531,T083
M0000532,T047
M0000533,T109
M0000533,T131
M0000534,T083
M0000535,T083
M0000536,T083
M0000537,T083
M0000538,T083
M0000539,T083
M0000540,T083
M0000541,T083
M0000542,T083
M0000543,T047
M0000544,T005
M0000545,T047
M0000546,T005
M0000547,T058
M0000548,T058
M0000549,T058
M0000550,T041
M0000550,T042
M0000551,T047
M0000552,T047
M0000553,T118
M0000553,T121
M0000553,T130
M0000554,T004
M0000555,T004
M0000556,T004
M0000557,T004
M0000558,T060
M0000559,T060
M0000561,T079
M0000562,T079
M0000563,T100
M0000564,T100
M0000565,T100
M0000566,T100
M0000567,T100
M0000568,T184
M0000569,T044
M0000570,T059
M0000571,T129
M0000572,T048
M0000572,T054
M0000572,T055
M0000573,T040
M0000573,T079
M0000574,T040
M0000574,T079
M0000575,T040
M0000575,T079
M0000576,T109
M0000576,T123
M0000577,T048
M0000578,T054
M0000579,T048
M0000580,T033
M0000580,T047
M0000581,T048
M0000582,T047
M0000583,T090
M0000584,T090
M0000585,T081
M0000586,T097
M0000587,T007
M0000588,T064
M0000589,T064
M0000590,T047
M0000591,T047
M0000592,T167
M0000593,T068
M0000594,T068
M0000595,T068
M0000596,T070
M0000597,T067
M0000598,T070
M0000599,T131
M0000600,T131
M0000601,T131
M0000602,T131
M0000603,T069
M0000604,T069
M0000605,T070
M0000606,T023
M0000607,T073
M0000608,T073
M0000609,T073
M0000610,T047
M0000611,T046
M0000611,T184
M0000612,T034
M0000612,T042
M0000613,T109
M0000613,T121
M0000614,T109
M0000614,T121
M0000615,T048
M0000616,T005
M0000617,T083
M0000618,T116
M0000618,T195
M0000619,T116
M0000619,T123
M0000620,T116
M0000620,T126
M0000621,T116
M0000621,T126
M0000622,T116
M0000622,T126
M0000623,T116
M0000623,T126
M0000624,T083
M0000625,T083
M0000626,T083
M0000627,T083
M0000628,T019
M0000629,T116
M0000629,T123
M0000630,T034
M0000630,T047
M0000631,T109
M0000631,T121
M0000632,T109
M0000632,T121
M0000633,T109
M0000633,T121
M0000635,T109
M0000635,T121
M0000636,T109
M0000636,T121
M0000637,T007
M0000638,T007
M0000639,T090
M0000640,T109
M0000640,T130
M0000641,T048
M0000642,T048
M0000643,T116
M0000643,T126
M0000644,T116
M0000644,T126
M0000645,T116
M0000645,T126
M0000646,T116
M0000646,T126
M0000649,T121
M0000650,T055
M0000651,T116
M0000651,T126
M0000652,T047
M0000653,T109
M0000653,T121
M0000654,T109
M0000655,T109
M0000655,T131
M0000656,T109
M0000656,T130
M0000657,T109
M0000658,T168
M0000659,T037
M0000659,T048
M0000660,T095
M0000661,T048
M0000662,T048
M0000663,T109
M0000664,T119
M0000665,T119
M0000666,T119
M0000667,T119
M0000668,T119
M0000669,T109
M0000669,T121
M0000670,T109
M0000670,T121
M0000673,T116
M0000673,T126
M0000674,T116
M0000674,T126
M0000675,T116
M0000675,T126
M0000677,T116
M0000677,T126
M0000678,T116
M0000678,T126
M0000679,T109
M0000680,T109
M0000680,T131
M0000681,T116
M0000681,T126
M0000682,T116
M0000682,T123
M0000683,T116
M0000683,T126
M0000684,T116
M0000684,T126
M0000685,T116
M0000685,T126
M0000686,T110
M0000686,T121
M0000686,T125
M0000687,T121
M0000688,T109
M0000688,T131
M0000689,T109
M0000689,T131
M0000690,T047
M0000691,T005
M0000693,T002
M0000694,T003
M0000695,T003
M0000697,T007
M0000698,T003
M0000698,T204
M0000699,T002
M0000699,T003
M0000700,T003
M0000701,T003
M0000702,T003
M0000703,T003
M0000704,T002
M0000704,T003
M0000705,T083
M0000706,T110
M0000706,T121
M0000707,T118
M0000707,T121
M0000707,T122
M0000708,T170
M0000709,T109
M0000710,T109
M0000711,T197
M0000712,T116
M0000712,T126
M0000713,T109
M0000714,T046
M0000714,T047
M0000715,T046
M0000716,T109
M0000717,T047
M0000718,T109
M0000719,T109
M0000720,T109
M0000721,T121
M0000721,T130
M0000721,T131
M0000722,T070
M0000723,T109
M0000723,T131
M0000724,T109
M0000725,T109
M0000725,T121
M0000725,T123
M0000726,T018
M0000727,T028
M0000728,T129
M0000729,T091
M0000730,T091
M0000731,T091
M0000732,T109
M0000732,T131
M0000733,T097
M0000734,T097
M0000735,T097
M0000736,T014
M0000737,T014
M0000738,T014
M0000739,T014
M0000740,T002
M0000741,T168
M0000742,T002
M0000743,T168
M0000744,T116
M0000744,T126
M0000745,T109
M0000745,T121
M0000746,T044
M0000747,T082
M0000747,T169
M0000748,T123
M0000748,T195
