`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
B01.650.940.800.575.100.842.500.625.250,D000068218,167994
B01.650.940.800.575.100.842.500.625.375,D000068219,167995
B01.650.940.800.575.100.842.500.625.400,D000068220,167996
G16.500.275.683,D000068236,167997
G16.500.819,D000068236,167998
F02.784.176.350,D000068237,167999
F04.408.413.437,D000068237,168000
N02.421.143.303.175,D000068237,168001
N02.421.461.363.437,D000068237,168002
N04.452.758.849.550.500,D000068237,168003
D10.251.355.325.050.500,D000068238,168004
B01.650.940.800.575.100.842.500.625.750,D000068239,168005
H01.770.644.205,D000068240,168006
L01.209.500,D000068240,168007
N03.706.437.650.124.160,D000068240,168008
N04.452.910.200.500,D000068240,168009
I01.880.604.583.080.660,D000068241,168010
B01.650.940.800.575.100.842.500.625.450,D000068242,168011
D12.776.395.240.150.500,D000068256,168012
D02.705.429.906.125,D000068257,168013
D03.383.533.375,D000068257,168014
D03.383.742.680.245.500.600.125,D000068257,168015
D03.633.100.759.138.881.125,D000068257,168016
D26.310.375,D000068257,168017
D12.776.124.486.485.114.224.060.375,D000068258,168018
B01.050.150.900.649.077.380.443,D000068276,168019
D02.705.429.500.830.500,D000068296,168020
D02.033.100.291.057.750.500,D000068297,168021
D02.092.063.291.057.750.500,D000068297,168022
D02.092.471.683.061.750.500,D000068297,168023
D04.210.500.054.079.129.114.500,D000068297,168024
D26.310.438,D000068297,168025
D04.210.500.054.079.129.114,D000068298,168026
D02.033.100.291.057.750,D000068299,168027
D02.092.063.291.057.750,D000068299,168028
D02.092.471.683.061.750,D000068299,168029
J03.925.680,D000068316,168030
I01.880.735.950,D000068336,168031
I01.880.735.950.250,D000068337,168032
D02.540.505.760.500,D000068338,168033
D02.455.426.559.389.657.410.595.176.500,D000068342,168034
D03.383.742.175.500,D000068342,168035
D26.310.125,D000068342,168036
F01.145.813.595,D000068356,168037
G16.500.275.725,D000068357,168038
C23.888.369.500.500,D000068376,168039
F01.145.126.937.500,D000068376,168040
F01.145.126.990.469,D000068376,168041
F02.830.900.333,D000068376,168042
B01.650.940.800.575.100.583.700,D000068377,168043
B01.650.940.800.575.100.583,D000068378,168044
V03.175,D000068397,168045
E01.370.505,D000068436,168046
D03.633.100.759.758.399.454.650,D000068437,168047
D12.125.067.625.525,D000068437,168048
D12.125.119.409.525,D000068437,168049
D03.633.100.857.070,D000068438,168050
E05.318.760.250,D000068456,168051
N05.715.360.775.088,D000068456,168052
N06.850.520.450.250,D000068456,168053
Z01.252.474.164.225,D000068476,168054
Z01.433.114,D000068476,168055
I01.615.500.125,D000068516,168056
N03.540.089,D000068516,168057
B03.353,D000068536,168058
D04.210.500.925.100.125,D000068538,168059
B01.650.940.800.575.100.583.190,D000068543,168060
D12.644.276.374.440.890.275.500,D000068556,168061
D12.776.467.374.440.890.275.500,D000068556,168062
D23.529.374.440.890.275.500,D000068556,168063
D03.383.129.308.674,D000068557,168064
D03.383.129.617.584,D000068557,168065
D03.383.129.308.674.500,D000068558,168066
D03.383.129.617.584.500,D000068558,168067
D03.383.725.203.065.500,D000068558,168068
D26.310.063,D000068558,168069
D12.644.276.374.440.890.275.750,D000068576,168070
D12.776.467.374.440.890.275.750,D000068576,168071
D23.529.374.440.890.275.750,D000068576,168072
D02.033.100.291.491,D000068577,168073
D02.092.063.291.503,D000068577,168074
D03.383.663.283.755,D000068577,168075
D03.633.100.150.755,D000068577,168076
D02.065.884.247,D000068579,168077
D02.886.590.700.247,D000068579,168078
D03.383.129.539.160,D000068579,168079
D03.633.100.079.900,D000068580,168080
D03.633.100.857.942,D000068580,168081
D03.383.725.150.500,D000068581,168082
D03.633.100.473.155.500,D000068581,168083
D03.633.300.154.672,D000068581,168084
D05.750.741.125,D000068582,168085
D12.644.541.500.650.250,D000068582,168086
D12.776.124.486.485.114.224.060.500,D000068582,168087
D12.776.124.486.485.680.650.250,D000068582,168088
D12.776.124.790.651.114.224.060.500,D000068582,168089
D12.776.124.790.651.680.650.250,D000068582,168090
D12.776.377.715.548.114.224.200.500,D000068582,168091
D12.776.377.715.548.680.650.250,D000068582,168092
D25.720.741.125,D000068582,168093
J01.637.051.720.741.125,D000068582,168094
I01.880.604.238,D000068597,168095
K01.752.566.479.173.200,D000068597,168096
N05.350.670.250,D000068597,168097
E05.318.308.028,D000068598,168098
E05.318.780.725.250,D000068598,168099
L01.280.202,D000068598,168100
N05.715.360.300.202,D000068598,168101
N05.715.360.780.685.250,D000068598,168102
D02.033.100.624.915.500,D000068599,168103
D02.033.755.624.915.500,D000068599,168104
D02.092.063.624.915.500,D000068599,168105
D02.886.675.867.768.500,D000068599,168106
D03.383.129.708.867.768.500,D000068599,168107
D03.633.100.857.070.500,D000068599,168108
D26.310.312,D000068599,168109
D02.033.100.291.057.125,D000068600,168110
D02.092.063.291.057.125,D000068600,168111
D02.092.471.683.061.125,D000068600,168112
D02.145.074.722.229.400.500,D000068600,168113
D03.132.760.180.572.400.500,D000068600,168114
D03.132.889.180.648.400.500,D000068600,168115
D03.605.084.500.722.229.400.500,D000068600,168116
D03.605.869.229.400.500,D000068600,168117
D26.310.344,D000068600,168118
H01.770.644.217,D000068601,168119
K01.752.566.479.171.566,D000068616,168120
N05.350.340.581,D000068616,168121
G05.346,D000068617,168122
E05.820.150.760,D000068618,168123
G05.090.701,D000068618,168124
I01.076.201.450.515.500,D000068636,168125
D04.210.500.745.432.719.526,D000068656,168126
B01.650.940.800.575.100.825.359.590,D000068676,168127
D02.065.884.675,D000068677,168128
D02.886.590.700.675,D000068677,168129
D03.383.606.854,D000068677,168130
D03.633.100.759.824,D000068677,168131
D02.626.809.500,D000068678,168132
D02.705.429.906.500,D000068678,168133
D03.383.742.680.245.500.600.500,D000068678,168134
D03.383.742.755.500,D000068678,168135
D03.633.100.759.138.881.500,D000068678,168136
D26.310.407,D000068678,168137
D03.383.742.680.245.500.600,D000068679,168138
D13.570.230.329.525,D000068679,168139
D13.570.685.245.500.600,D000068679,168140
D02.626.809,D000068696,168141
D03.383.742.755,D000068696,168142
D02.705.429.906,D000068698,168143
D03.633.100.759.138.881,D000068698,168144
D12.644.219,D000068717,168145
D02.065.884.650,D000068718,168146
D02.455.526.510.432.500,D000068718,168147
D02.886.590.700.650,D000068718,168148
D03.383.742.775,D000068718,168149
D02.886.778.260,D000068736,168150
D03.383.903.260,D000068736,168151
D02.033.100.624.706.750,D000068737,168152
D02.033.755.624.706.750,D000068737,168153
D02.092.063.624.706.800,D000068737,168154
D02.455.426.559.389.115.900,D000068737,168155
D02.455.426.559.389.657.239.756,D000068737,168156
D03.383.129.617.850,D000068756,168157
D12.125.070.950.550,D000068756,168158
D12.125.142.930.500,D000068756,168159
B01.650.940.800.575.100.401.604,D000068757,168160
D02.033.100.291.425.500,D000068758,168161
D02.092.063.291.425.500,D000068758,168162
D04.210.500.745.432.719.526.500,D000068758,168163
D26.310.469,D000068758,168164
D02.033.100.291.425,D000068759,168165
D02.092.063.291.425,D000068759,168166
D27.505.519.562.437.693,D000068760,168167
D27.505.519.625.600.693,D000068760,168168
D27.505.696.577.600.693,D000068760,168169
D27.505.954.842,D000068776,168170
D27.505.519.625.663,D000068796,168171
D27.505.696.577.663,D000068796,168172
D27.505.954.842.500,D000068796,168173
D12.644.400.360,D000068797,168174
D12.776.631.650.363,D000068797,168175
B01.650.940.800.575.100.456.500.389,D000068798,168176
D02.886.778.315,D000068799,168177
D03.383.606.420,D000068799,168178
D03.383.903.315,D000068799,168179
D12.776.124.486.485.114.619.393.261,D000068800,168180
D12.776.124.790.651.114.619.393.261,D000068800,168181
D12.776.377.715.548.114.619.393.261,D000068800,168182
D12.776.543.750.705.852.760.232,D000068800,168183
D02.241.223.100.133.500,D000068801,168184
D02.455.426.559.389.127.133.500,D000068801,168185
D02.455.426.559.847.638.090.500,D000068801,168186
D04.615.638.090.500,D000068801,168187
D26.310.032,D000068801,168188
D02.455.426.559.847.638.090,D000068816,168189
D04.615.638.090,D000068816,168190
D12.644.276.374.410.240.150.500,D000068817,168191
D12.776.395.240.150.750,D000068817,168192
D12.776.467.374.410.240.150.500,D000068817,168193
D23.529.374.410.240.150.750,D000068817,168194
D12.776.124.486.485.114.224.060.750,D000068818,168195
D12.776.124.790.651.114.224.060.750,D000068818,168196
D12.776.377.715.548.114.224.200.750,D000068818,168197
B01.650.940.800.575.100.583.520.330,D000068819,168198
D02.241.081.251.583.899,D000068836,168199
B01.300.107.685,D000068837,168200
B01.300.340.458,D000068837,168201
D03.383.129.617.850.500,D000068838,168202
D03.383.725.203.065.750,D000068838,168203
D12.125.070.950.550.500,D000068838,168204
D12.125.142.930.500.500,D000068838,168205
D26.310.094,D000068838,168206
B01.650.940.800.575.100.773.374,D000068856,168207
D20.215.894.899.498.500,D000068857,168208
D20.215.784.844.500,D000068858,168209
G07.203.100.831.500,D000068858,168210
J02.200.831.500,D000068858,168211
D02.033.100.700.350,D000068876,168212
D02.033.455.706.431,D000068876,168213
D02.092.063.700.350,D000068876,168214
D02.065.277.456,D000068877,168215
D02.241.223.100.100.435,D000068877,168216
D02.455.426.559.389.127.085.465,D000068877,168217
D03.383.606.405,D000068877,168218
D03.383.742.349,D000068877,168219
D12.776.124.486.485.114.224.060.875,D000068878,168220
D12.776.124.790.651.114.224.060.875,D000068878,168221
D12.776.377.715.548.114.224.200.875,D000068878,168222
D12.776.124.486.485.114.224.060.250,D000068879,168223
D12.776.124.790.651.114.224.060.250,D000068879,168224
D12.776.377.715.548.114.224.200.250,D000068879,168225
D06.472.699.587.200.300.200.500,D000068880,168226
D06.472.699.587.200.500.625.500.500,D000068880,168227
D12.644.548.586.200.300.200.500,D000068880,168228
D12.644.548.586.200.500.625.500.500,D000068880,168229
B01.050.050.126,D000068881,168230
D03.383.129.385.650,D000068882,168231
D03.383.742.592,D000068882,168232
G07.345.124.390,D000068884,168233
G12.460.500,D000068884,168234
D02.886.778.075,D000068896,168235
D03.383.903.075,D000068896,168236
D09.408.348.113,D000068896,168237
G01.590.310,D000068897,168238
D03.383.773.812.752,D000068898,168239
D02.078.370.141.450.500,D000068899,168240
D03.383.129.799.725.500,D000068899,168241
D03.383.679.875.500,D000068899,168242
D26.310.750,D000068899,168243
D03.383.129.799.725,D000068900,168244
D03.383.679.875,D000068900,168245
E05.318.740.750.862,D000068916,168246
E05.318.740.933.375,D000068916,168247
N05.715.360.750.695.825,D000068916,168248
N05.715.360.750.746.375,D000068916,168249
N06.850.520.830.750.862,D000068916,168250
N06.850.520.830.933.375,D000068916,168251
E01.894,D000068936,168252
E02.921,D000068936,168253
H01.603.600.500,D000068936,168254
H02.403.845,D000068936,168255
J01.897.520.600.600.500,D000068936,168256
D26.074,D000068937,168257
D27.720.269.285,D000068937,168258
E05.385.500,D000068956,168259
I03.450.642.693.465,D000068957,168260
I03.450.642.845.605,D000068958,168261
G07.345.249.314.120.250,D000068959,168262
N04.452.758.708.450.500,D000068977,168263
L01.178.847.698.300.250,D000068997,168264
L01.224.230.260.550.500.500,D000068997,168265
E07.451,D000068998,168266
J01.494.650,D000068998,168267
I01.076.201.450.050,D000069,168268
I01.880.853.100.079,D000069,168269
D06.472.699.587.200.300.100,D000069036,168270
D12.644.548.586.200.300.100,D000069036,168271
D02.886.675.414,D000069056,168272
D03.383.129.708.414,D000069056,168273
D03.633.100.513.437,D000069056,168274
D06.472.699.587.200.300.050,D000069057,168275
D12.644.548.586.200.300.050,D000069057,168276
D03.383.129.308.980,D000069058,168277
D03.383.606.960,D000069058,168278
D03.383.129.578.075,D000069059,168279
D10.251.450.200,D000069059,168280
C26.404.280,D000069076,168281
C26.640.500,D000069076,168282
F02.463.425.540.305.500,D000069077,168283
G12.800,D000069078,168284
G01.750.748,D000069079,168285
N06.850.460.350.850,D000069079,168286
E05.318.308.940.968.625.750,D000069098,168287
L01.280.900.968.775.500,D000069098,168288
L01.313.500.750.300.695.300,D000069098,168289
N04.452.653.250,D000069098,168290
N04.452.859.564.650.250,D000069098,168291
N05.715.360.300.715.500.530.500,D000069098,168292
N06.850.520.308.940.968.625.500,D000069098,168293
D05.500.890.500.500,D000069177,168294
D05.500.890.500.750,D000069178,168295
G06.591.375,D000069196,168296
G16.500.275.157.049.100.500.375,D000069196,168297
N06.230.124.049.100.500.250,D000069196,168298
E05.318.308.980.313,D000069216,168299
L01.280.960.233,D000069216,168300
N05.715.360.300.800.313,D000069216,168301
N06.850.520.308.980.313,D000069216,168302
A07.541.795.500,D000069236,168303
A10.615.789.470.500,D000069236,168304
A12.207.270.651,D000069236,168305
E01.370.225.998.329.465,D000069237,168306
E02.800.550.310,D000069237,168307
E04.665.600.465,D000069237,168308
E05.200.998.329.465,D000069237,168309
E01.370.225.998.329.810,D000069258,168310
E02.800.550.810,D000069258,168311
E04.665.600.810,D000069258,168312
E05.200.998.329.810,D000069258,168313
A01.456.505.875,D000069259,168314
A01.598.500,D000069259,168315
A11.284.180.695,D000069261,168316
A11.436.275.841,D000069261,168317
A02.165.308.650,D000069262,168318
A02.513.514.538,D000069262,168319
A02.835.583.378.531.500,D000069262,168320
A02.835.583.378.900.500,D000069262,168321
A02.835.583.512.538,D000069262,168322
