`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
F02.463.785.373.520.500,D000067551,283
I01.738.305,D000067551,284
G05.365.590.594,D000067552,285
D13.444.735.790.878.942.250,D000067556,286
G02.111.570.080.689.687.093,D000067556,287
G05.360.080.689.687.093,D000067556,288
G16.012.750,D000067558,289
F03.625.562.700,D000067559,290
N04.761.700.615,D000067561,291
N05.700.594,D000067561,292
C23.550.291.883,D000067562,293
B01.300.179.110,D000067563,294
M01.526.390,D000067565,295
J01.897.052,D000067568,296
F02.784.629.529.663,D000067570,297
N03.219.463.030.140,D000067571,298
M01.526.693,D000067572,299
G07.690.725.249,D000067573,300
N04.452.859.564.137,D000067575,301
N01.400.225,D000067576,302
D12.644.276.374.465.850,D000067596,303
D12.776.467.374.465.850,D000067596,304
D23.529.374.465.850,D000067596,305
D12.776.157.125.750.875,D000067616,306
A11.284.180.900,D000067617,307
A11.329.830.750.500,D000067617,308
B01.050.500.131.617.720.500.500.750.310.250.750,D000067636,309
F01.100.787,D000067656,310
F01.100.893,D000067657,311
D12.776.631.069.500,D000067696,312
D12.776.660.075.500,D000067696,313
N01.400.075,D000067697,314
D12.776.157.725.452.125,D000067698,315
D12.776.631.069.750,D000067698,316
D12.776.660.075.750,D000067698,317
D12.776.664.962.452.125,D000067698,318
D08.811.037.250,D000067699,319
D12.776.631.069.875,D000067699,320
D12.776.660.075.875,D000067699,321
N04.590.874.500,D000067716,322
D12.776.631.069.901,D000067719,323
D12.776.660.075.900,D000067719,324
D12.776.631.069.950,D000067736,325
D12.776.543.750.695.021,D000067756,326
D12.776.543.750.750.360.100,D000067756,327
D12.776.543.750.695.021.500,D000067757,328
D12.776.543.750.750.360.100.500,D000067757,329
D12.776.543.750.695.021.600,D000067758,330
D12.776.543.750.750.360.100.600,D000067758,331
D12.776.543.750.615,D000067759,332
D12.776.157.725.813,D000067776,333
D12.776.664.962.813,D000067776,334
D12.776.157.725.813.500.500,D000067777,335
D12.776.631.520.500,D000067777,336
D12.776.664.962.813.500.500,D000067777,337
D12.776.157.725.813.500.750,D000067778,338
D12.776.631.520.750,D000067778,339
D12.776.664.962.813.500.750,D000067778,340
D12.776.157.725.813.500.875,D000067779,341
D12.776.631.520.875,D000067779,342
D12.776.664.962.813.500.875,D000067779,343
D12.776.157.725.813.500.250,D000067780,344
D12.776.664.962.813.500.250,D000067780,345
G07.203.100.700.750,D000067796,346
G07.203.300.350.525.760,D000067796,347
J02.200.700.750,D000067796,348
J02.500.350.525.760,D000067796,349
D12.776.256.626.816,D000067816,350
G07.203.300.350.525.520.500,D000067816,351
G07.203.300.350.525.760.500,D000067816,352
G07.203.300.428.626.500,D000067816,353
J02.500.350.525.520.500,D000067816,354
J02.500.350.525.760.500,D000067816,355
J02.500.428.626.500,D000067816,356
F03.080.600.250,D000067836,357
D27.505.519.389.739,D000067856,358
D27.505.954.248.692,D000067856,359
F03.625.164.113,D000067877,360
D12.776.157.725.813.250,D000067878,361
D12.776.664.962.813.250,D000067878,362
D12.776.157.725.813.250.500,D000067879,363
D12.776.664.962.813.250.500,D000067879,364
I01.261.262.500,D000067896,365
J01.576.519,D000067896,366
L01.224.097,D000067917,367
G16.500.275.553,D000067936,368
J01.728,D000067936,369
N06.230.350,D000067936,370
G07.203.650.660.750,D000067940,371
J01.576.423.850.730.750.750,D000067940,372
N06.850.601.750.750,D000067940,373
D27.505.519.389.108,D000067956,374
A11.251.210.172.875,D000067996,375
A11.733.397.815,D000067996,376
N03.706.110.070,D000068,377
N05.700.200.100,D000068,378
B03.353.625,D000068016,379
V02.700.415,D000068036,380
Z01.058.290.120.745,D000068037,381
F03.608,D000068079,382
N01.400.900.500,D000068097,383
N02.278.065.650,D000068098,384
F03.950,D000068099,385
N02.421.143.130.660,D000068101,386
N02.421.143.620.275,D000068101,387
D12.776.157.725.829.500,D000068103,388
D12.776.664.962.829.500,D000068103,389
N01.400.388,D000068104,390
F03.084,D000068105,391
F03.835.550,D000068116,392
F02.784.629.529.223,D000068156,393
D03.383.606.170,D000068180,394
D03.633.100.810.835.122,D000068180,395
B01.650.940.800.575.912.250.859.937.500.625.500,D000068181,396
D02.455.426.392.368.242.888.777.500,D000068196,397
D02.455.849.291.850.777.500,D000068196,398
D12.776.034.073,D000068196,399
I01.409.418.500,D000068216,400
N03.540.400.500,D000068216,401
M01.526.919,D000068217,402
B01.650.940.800.575.912.250.859.937.500.625.250,D000068218,403
B01.650.940.800.575.912.250.859.937.500.625.375,D000068219,404
B01.650.940.800.575.912.250.859.937.500.625.400,D000068220,405
G16.500.275.683,D000068236,406
G16.500.819,D000068236,407
F02.784.176.350,D000068237,408
F04.408.413.437,D000068237,409
N02.421.143.303.175,D000068237,410
N02.421.461.363.437,D000068237,411
N04.452.758.849.550.500,D000068237,412
D10.251.355.325.050.500,D000068238,413
B01.650.940.800.575.912.250.859.937.500.625.750,D000068239,414
H01.770.644.205,D000068240,415
L01.224.134.500,D000068240,416
N03.706.437.650.124.160,D000068240,417
N04.452.910.200.500,D000068240,418
I01.880.604.583.080.660,D000068241,419
B01.650.940.800.575.912.250.859.937.500.625.450,D000068242,420
D12.776.395.240.150.500,D000068256,421
D02.705.429.906.125,D000068257,422
D03.383.533.375,D000068257,423
D03.383.742.680.245.500.600.125,D000068257,424
D03.633.100.759.138.881.125,D000068257,425
D26.310.375,D000068257,426
D12.776.124.486.485.114.224.060.375,D000068258,427
D12.776.124.790.651.114.224.060.438,D000068258,428
D12.776.377.715.548.114.224.200.438,D000068258,429
B01.050.150.900.649.313.500.380.443,D000068276,430
D02.705.429.500.872,D000068296,431
D03.383.725.836,D000068296,432
D02.033.100.291.057.750.500,D000068297,433
D02.092.063.291.057.750.500,D000068297,434
D02.092.471.683.061.750.500,D000068297,435
D04.210.500.054.079.129.114.500,D000068297,436
D26.310.438,D000068297,437
D04.210.500.054.079.129.114,D000068298,438
D02.033.100.291.057.750,D000068299,439
D02.092.063.291.057.750,D000068299,440
D02.092.471.683.061.750,D000068299,441
J03.925.680,D000068316,442
I01.880.735.950,D000068336,443
I01.880.735.950.250,D000068337,444
D02.540.505.760.500,D000068338,445
D02.455.426.559.389.657.410.595.176.500,D000068342,446
D03.383.742.175.500,D000068342,447
D26.310.125,D000068342,448
F01.145.813.595,D000068356,449
G16.500.275.725,D000068357,450
C23.888.369.500.500,D000068376,451
F01.145.126.937.500,D000068376,452
F01.145.126.990.734.500,D000068376,453
F02.830.900.666.750,D000068376,454
B01.650.940.800.575.912.250.583.700,D000068377,455
B01.650.940.800.575.912.250.583,D000068378,456
V03.175,D000068397,457
E01.370.505,D000068436,458
D03.633.100.759.758.399.454.650,D000068437,459
D12.125.067.625.525,D000068437,460
D12.125.119.409.525,D000068437,461
D03.633.100.857.070,D000068438,462
E05.318.372.250,D000068456,463
N05.715.360.330.250,D000068456,464
N06.850.520.450.250,D000068456,465
Z01.252.474.164.225,D000068476,466
Z01.433.114,D000068476,467
I01.615.500.125,D000068516,468
N03.540.089,D000068516,469
B03.353,D000068536,470
D04.210.500.925.100.125,D000068538,471
B01.650.940.800.575.912.250.583.190,D000068543,472
D12.644.276.374.440.890.275.500,D000068556,473
D12.776.467.374.440.890.275.500,D000068556,474
D23.529.374.440.890.275.500,D000068556,475
D03.383.129.308.674,D000068557,476
D03.383.129.617.584,D000068557,477
D03.383.129.308.674.500,D000068558,478
D03.383.129.617.584.500,D000068558,479
D03.383.725.203.065.500,D000068558,480
D26.310.063,D000068558,481
D12.644.276.374.440.890.275.750,D000068576,482
D12.776.467.374.440.890.275.750,D000068576,483
D23.529.374.440.890.275.750,D000068576,484
D02.033.100.291.491,D000068577,485
D02.092.063.291.503,D000068577,486
D03.383.663.283.755,D000068577,487
D03.633.100.150.755,D000068577,488
D02.065.884.247,D000068579,489
D02.886.590.700.247,D000068579,490
D03.383.129.539.160,D000068579,491
D03.633.100.079.900,D000068580,492
D03.633.100.857.942,D000068580,493
D03.383.725.150.500,D000068581,494
D03.633.100.473.155.500,D000068581,495
D03.633.300.154.672,D000068581,496
D05.750.741.125,D000068582,497
D12.644.541.500.650.250,D000068582,498
D12.776.124.486.485.114.224.060.500,D000068582,499
D12.776.124.486.485.680.650.250,D000068582,500
D12.776.124.790.651.114.224.060.500,D000068582,501
D12.776.124.790.651.680.650.250,D000068582,502
D12.776.377.715.548.114.224.200.500,D000068582,503
D12.776.377.715.548.680.650.250,D000068582,504
I01.880.604.238,D000068597,505
K01.752.566.479.173.200,D000068597,506
N05.350.670.250,D000068597,507
E05.318.308.028,D000068598,508
E05.318.370.725.250,D000068598,509
